name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,08/07/2024,80.5,77.4,79.4,86.9,77.4,81.5,75.3,87.6,0.889,100,70.83,rain,0,,19.2,15.7,224,1013.4,61.6,5.9,168.2,14.5,7,10,2024-07-08T06:37:21,2024-07-08T19:05:59,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote"
Lagos,09/07/2024,79.2,77.1,78.3,79.2,77.1,78.3,72.6,82.6,0.45,93.5,79.17,rain,0,,18.1,16.6,233.5,1012.5,70.8,11.7,249.6,21.7,9,10,2024-07-09T06:37:34,2024-07-09T19:06:04,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
Lagos,10/07/2024,79.4,76.4,78.1,79.4,76.4,78.1,73,84.2,0.32,90.3,79.17,rain,0,,20.6,19,236.4,1013.1,88.6,11.9,237.6,20.4,9,10,2024-07-10T06:37:47,2024-07-10T19:06:08,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
Lagos,11/07/2024,78.2,76.7,77.5,78.2,76.7,77.5,72.9,85.7,0.48,83.9,87.5,rain,0,,19.7,17.4,239.9,1014,95.8,9.7,107.3,9.3,6,10,2024-07-11T06:37:59,2024-07-11T19:06:11,0.18,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Lagos,12/07/2024,78.2,75.3,77,78.2,75.3,77,72.9,87.3,1.082,74.2,100,rain,0,,19.9,15.4,248.4,1014.8,98.6,7.7,41.6,3.5,2,10,2024-07-12T06:38:11,2024-07-12T19:06:14,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Lagos,13/07/2024,79.4,76.9,78.3,79.4,76.9,78.3,72.3,82,0.112,77.4,45.83,rain,0,,19.5,17.2,237.6,1014.8,92,14.2,253.6,21.8,9,10,2024-07-13T06:38:23,2024-07-13T19:06:16,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Lagos,14/07/2024,78.9,77.8,78.3,78.9,77.8,78.3,72,81.1,0.129,38.7,25,rain,0,,19.9,18.3,227.7,1015.6,71.7,13.8,203.3,17.4,7,10,2024-07-14T06:38:34,2024-07-14T19:06:17,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Lagos,15/07/2024,78.9,77.8,78.3,78.9,77.8,78.3,71.2,79,0.036,71,29.17,rain,0,,20.6,19.5,237.3,1015.5,87.2,14.9,167.6,14.4,6,10,2024-07-15T06:38:46,2024-07-15T19:06:18,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
Lagos,16/07/2024,78.5,77.6,77.9,78.5,77.6,77.9,71.4,80.5,0.162,54.8,33.33,rain,0,,22.8,20.4,237.7,1015,100,13.5,156.1,13.4,6,10,2024-07-16T06:38:57,2024-07-16T19:06:18,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Lagos,17/07/2024,78.9,76.7,77.8,78.9,76.7,77.8,71.2,80.2,0.111,48.4,25,rain,0,,20.8,18.1,242,1015.7,73.5,13.5,206.3,18,7,10,2024-07-17T06:39:07,2024-07-17T19:06:17,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
Lagos,18/07/2024,78.9,77.1,78.1,78.9,77.1,78.1,71.3,79.7,0.028,45.2,16.67,rain,0,,17.9,18.3,235.7,1015.5,60.2,15,211.8,18.3,7,10,2024-07-18T06:39:17,2024-07-18T19:06:16,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,
Lagos,19/07/2024,78.9,78,78.3,78.9,78,78.3,71.3,79.1,0.016,38.7,16.67,rain,0,,22.1,19,233.7,1014.5,92.8,15,164.8,14.3,7,10,2024-07-19T06:39:27,2024-07-19T19:06:14,0.44,Overcast,Cloudy skies throughout the day.,cloudy,
Lagos,20/07/2024,78.7,77.6,78.1,78.7,77.6,78.1,71.3,79.6,0.068,22.6,25,rain,0,,22.8,20.1,233.1,1014.8,88,14.1,206.1,17.9,8,10,2024-07-20T06:39:36,2024-07-20T19:06:11,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Lagos,21/07/2024,78.3,77.6,78,78.3,77.6,78,70.4,77.5,0.032,29,25,rain,0,,22.4,19.5,230.9,1015.6,60.2,15,214,18.5,7,10,2024-07-21T06:39:45,2024-07-21T19:06:07,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
